,,,,,,,,Assembled dimensions,,,Total Weight,Number of boxes,Box 1,Box 2,Box 3,Box 4,Box 5,Box 6,Box 7,Box 8,Box 9,Box 10,TOTAL,Box 1 information,,,,,Box 2 information,,,,,Box 3 information,,,,,Box 4 information,,,,,Box 5 information,,,,,Box 6 information,,,,,Box 7 information,,,,,Box 8 information,,,,,Box 9 information,,,,,Box 10 information,,,,,Bullet Points,,,,,,Supporting Documents,,,,,,,,Images,,,,,,,,,,,,,,,,,,,,Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKU ,Product ID,Commodity Code,Ranges,Product Name,Description,Finish,EAN,Width (cm),Height (cm),Depth (cm),Kg,Qty,Kg,Kg,Kg,Kg,Kg,Kg,Kg,Kg,Kg,Kg,m3,EAN,Length (cm),Width (cm),Height (cm),m3,EAN,Length (cm),Width (cm),Height (cm),m3,EAN,Length (cm),Width (cm),Height (cm),m3,EAN,Length (cm),Width (cm),Height (cm),m3,EAN,Length (cm),Width (cm),Height (cm),m3,EAN,Length (cm),Width (cm),Height (cm),m3,EAN,Length (cm),Width (cm),Height (cm),m3,EAN,Length (cm),Width (cm),Height (cm),m3,EAN,Length (cm),Width (cm),Height (cm),m3,EAN,Length (cm),Width (cm),Height (cm),m3,BP 1,BP2,BP 3,BP 4,BP 5,BP 6,Assembly Instructions 1,Assembly Instructions 2,Assembly Instructions 3,Assembly Instructions 4,Assembly Instructions 5,FR Test Report,FR Test Report Fabric,FR Test Report Foam,Image URL1,Image URL2,Image URL3,Image URL4,Image URL5,Image URL6,Image URL7,Image URL8,Image URL9,Image URL10,Image URL11,Image URL12,Image URL13,Image URL14,Image URL15,Image URL16,Image URL17,Image URL18,Image URL19,Image URL20,C1-Bar Table,C2-Dressing Table,C3-Mirrors,C4-Beds,C5-Ottomans,C6-Bookcases,C7-Cabinets,C8-Chests,C9-Coffee tables,C10-Desks & Office,C11-Dining tables,C12-Dining chairs,C13-Lightning,C14-Sideboards,C15-Sofas,C16-TV cabinets,C17-Wall Shelves,C18-Wardrobes,C19-Kids,,,,,,,,,
4050221,6006002001136,94036010,4 You,4 You Medium Wide Bookcase In Pearl White,"Medium Wide Bookcase in Pearl White This medium height wide bookcase has adjustable shelves, and can be used as bookcase, storage area for DVD’s and CD’s or display unit for your treasured ornaments. Why not add more of our matching bookcases to complete your collection.",Pearl White ,5900355015641,79,107.2,26.72,17.8,1,17.8,,,,,,,,,,0.040,6010000000165,113.2,29.5,12,0.040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Laminated board (resistant to damage and scratches, moisture and high temperature)",Metal brackets,Easy self assembly ,,,,https://dl.dropboxusercontent.com/scl/fi/g0r8vni753qpjey31a4fh/4050221_ai.pdf?rlkey=kgh5zi6n95kqchh6o8ucuuasf&dl=0,,,,,,,,https://www.dropbox.com/s/5mtmyktirf9kakt/4050221_1.jpg?dl=0,https://www.dropbox.com/s/uwy8f568hy9q5wr/4050221_2.jpg?dl=0,https://www.dropbox.com/s/x757qcfmg4mhu1h/4050221_3.jpg?dl=0,https://www.dropbox.com/s/yjzptpqfc916i77/4050221_4.jpg?dl=0,https://www.dropbox.com/s/cm1nlqocg6zz4a8/4050221_5.jpg?dl=0,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,
4050621,6006002001140,94036010,4 You,4 You Tall Narrow Bookcase in Pearl White,"Tall Narrow Bookcase in Pearl White This extra tall narrow bookcase has several adjustable shelves, and can be used as bookcase, storage area for DVD’s and CD’s or display unit for your treasured ornaments. Why not add more of our matching bookcases to complete your collection.",Pearl White ,5060653083756,40.6,203.2,26.75,20.1,1,21.0,,,,,,,,,,0.047,5706887970324,209.2,27.7,8.2,0.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Laminated board (resistant to damage and scratches, moisture and high temperature)",Metal brackets,Easy self assembly ,,,,https://dl.dropboxusercontent.com/scl/fi/kqp97jogmcm5sbe3kit4h/4050621_ai.pdf?rlkey=0gv5hdt3ntutmrw9m385sai94&dl=0,,,,,,,,https://www.dropbox.com/s/o49vs8s6fvflrnl/4050621_1.jpg?dl=0,https://www.dropbox.com/s/ivpupq49jrqj3af/4050621_2.jpg?dl=0,https://www.dropbox.com/s/wt9ujo4cfkdex91/4050621_3.jpg?dl=0,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,
4050247,71776ak,94036010,4 You,4 You Medium Wide Bookcase in Sonama Oak,"This versatile bookcase from the 4 You range in Sonama Oak provides both style and practicality. With adjustable shelving, it’s great for books, DVDs or display, blending seamlessly with both classic and modern interiors.",Sonama Oak,5060653083817,79,107.2,26.7,24.0,1,17.8,,,,,,,,,,0.226,5706887970423,113.2,29.5,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium wide bookcase,Adjustable shelves,Sonama oak finish,Durable laminated board,Simple Self Assembly,,https://dl.dropboxusercontent.com/scl/fi/48wskbmeun4j6fwxdlz5u/4050247_ai.PDF?rlkey=hnlx7r35pfplcvbd70hqz84qw&dl=0,,,,,,,,https://www.dropbox.com/scl/fi/b1kq393gq8ozj9721h2rj/4050247_1.jpg?rlkey=6lun3tr517mv00mvag676u5j7&dl=0,https://www.dropbox.com/scl/fi/39svfautjs3d04en5f86b/4050247_2.jpg?rlkey=v8gvpksojxgzpfxdek6mydcat&dl=0,https://www.dropbox.com/scl/fi/p9g9pwi0b39tyotnfrh2z/4050247_3.jpg?rlkey=smxtijreyanzfgwtc1ucq6nvr&dl=0,https://www.dropbox.com/scl/fi/kd5lnw7dd885j7srmi2wn/4050247_4.jpg?rlkey=4g8b23rodtgtoy36cd102672a&dl=0,https://www.dropbox.com/scl/fi/jcb53hl1y19zi2rv27ds2/4050247_5.jpg?rlkey=qsp0gylq4g5hxdrji9nxghkll&dl=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4059321,7177749,94036010,4 You,4 You Tall Wide Bookcase in Pearl White,"Elegant and tall, the 4 You Tall Wide Bookcase in Pearl White delivers abundant storage in a sleek design. With adjustable shelves and a durable white finish, it’s the perfect statement piece for showcasing books, decor, or media in a tidy, contemporary way.",Pearl White,5060653083831,79,203.2,26.7,29.0,1,29.0,,,,,,,,,,0.063,5706887970461,209.2,29.5,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tall and wide structure for maximum storage,Adjustable shelving for flexible organisation,Sleek pearl white laminated finish,Moisture and scratch resistant surface,Metal brackets for extra support,Pairs well with matching white furniture,https://dl.dropboxusercontent.com/scl/fi/5y1tt4wlfctvx1xqt8u7q/4059321_ai.PDF?rlkey=qrsu62jih49e0a57ozspmmzoa&dl=0,,,,,,,,https://www.dropbox.com/scl/fi/rion6o5aeidxalnr4ohtx/4059321_1.jpg?rlkey=qsyl01elutztzi1kwlfrezp1t&dl=0,https://www.dropbox.com/scl/fi/4akq1z34jnewfo8n4rrkf/4059321_2.jpg?rlkey=qop7ggkb7lyf974aomfls1rvj&dl=0,https://www.dropbox.com/scl/fi/h0uubadoltvuhvnqh4b4d/4059321_3.jpg?rlkey=ajnw5a0zbw5junrs6e6iklp38&dl=0,https://www.dropbox.com/scl/fi/s7t2tpilnj77o1pb1b0sh/4059321_4.jpg?rlkey=8e3rcr8yl2w457e5vlrwj1ife&dl=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4059347,71777ak,94036010,4 You,4 You Tall Wide Bookcase in Sonoma Oak,"Designed to impress, the 4 You Tall Wide Bookcase in Sonoma Oak brings practical storage and a warm oak tone to your living or work space. With multiple adjustable shelves, it’s a versatile piece for books, decor, or multimedia, built to last and styled to suit.",Sonoma Oak,5060653083855,79,203.2,26.7,37.0,1,29.0,,,,,,,,,,0.079,5706887970492,209.2,29.5,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Extra height and width for expansive storage,Sonoma oak look complements traditional decor,Five or more adjustable shelves,Scratch and heat-resistant laminated surface,Metal brackets provide structural integrity,,https://dl.dropboxusercontent.com/scl/fi/tatmhufmy5jjx5t3179jt/4059347_ai.PDF?rlkey=1jcug3zxquskkmlfjqybqgkq6&dl=0,,,,,,,,https://www.dropbox.com/scl/fi/fm3o6mtwlow19ods0i6cv/4059347_1.jpg?rlkey=6xz0etq2fduzoxla9c05ow4cy&dl=0,https://www.dropbox.com/scl/fi/msq7c0yl5qz528eedonlo/4059347_2.jpg?rlkey=y1qjnkvw06b8wac94zjzpzzof&dl=0,https://www.dropbox.com/scl/fi/tjup5cuqftwspvg5j07il/4059347_3.jpg?rlkey=mpx3uspgfnbkwufrlmms8hov3&dl=0,https://www.dropbox.com/scl/fi/3qfvlztuz10ugxhwerklu/4059347_4.jpg?rlkey=40cfsy8rl7k84ruysnuw11poq&dl=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4059521,6006002001139,94036010,4 You,4 You Medium Narrow Bookcase in Pearl White,"Sleek and compact, the 4 You Medium Narrow Bookcase in Pearl White is perfect for smaller spaces needing smart storage. Its tall, slender design includes adjustable shelves and a crisp white finish, ideal for organising books or displaying small decorative pieces.",Pearl White,5900355015672,40.6,107.2,26.7,12.1,1,12.1,,,,,,,,,,0.026,5706887970256,117,27.2,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Space-saving narrow profile,Pearl white finish for a bright interior,Customisable shelf heights,Durable laminated board,Scratch and moisture resistant,Tool-free self assembly,https://dl.dropboxusercontent.com/scl/fi/v47qie8uad6g7o4fplv33/4059521_ai.pdf?rlkey=byf6a0a51o177yyf5srgrdfn6&dl=0,,,,,,,,https://www.dropbox.com/scl/fi/n9c0qxqi7zo4cswqqlqpc/4059521_1.jpg?rlkey=c5aamypv1niwkyhgll7lhlf4q&dl=0,https://www.dropbox.com/scl/fi/msvgdtn0l1mb4c36zd7zk/4059521_2.jpg?rlkey=9q9a7bj2vb1671do6wi0d3m0r&dl=0,https://www.dropbox.com/scl/fi/v57ak67y9je1a0eb13h1d/4059521_3.jpg?rlkey=fm01gmqt813d1qpga3pcddsg8&dl=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4050647,71775,94036010,4 You,4 You Tall Narrow Bookcase in Sonama Oak,"Designed to deliver both style and functionality, the 4 You Tall Narrow Bookcase in Sonama Oak offers a warm oak finish paired with practical vertical storage. Perfect for rooms where space is limited but storage is essential, this bookcase features adjustable shelves that allow you to customise how you store or display books, media, or personal items. The natural wood tone complements a variety of interiors, from classic to contemporary.",Sonama Oak,5060653083770,40.6,203.2,26.7,23.0,1,21.0,,,,,,,,,,0.054,5706887970355,209.2,27.7,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Warm Sonama Oak finish,Slim design ideal for small spaces,Adjustable shelves for personalised storage,Durable laminated board resists wear and heat,Easy to assemble with sturdy construction,,https://dl.dropboxusercontent.com/scl/fi/zgzl10ydxk2hm1wktaiwj/4050647_ai.pdf?rlkey=vloicuacv7nkxanjwutv607xg&dl=0,,,,,,,,https://www.dropbox.com/scl/fi/yag2ewvysz13qt77h31m9/4050647_1.jpg?rlkey=2i4pf0ktt77qe9c68rn7q21vh&dl=0,https://www.dropbox.com/scl/fi/4wthig8w8qyo01yi1qf46/4050647_2.jpg?rlkey=0f4i0a2nawlu9v1i0vt9tplb1&dl=0,https://www.dropbox.com/scl/fi/s24xn1bor3helgi445a91/4050647_3.jpg?rlkey=d69jp3rn6dvyubrleut8vxtil&dl=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4059547,6006002001173,94036010,4 You,4 You Medium Narrow Bookcase in Sonama Oak,"The 4 You Medium Narrow Bookcase in Sonama Oak is a practical yet stylish storage piece that delivers everyday usability with a touch of warmth. Designed to fit into smaller areas, it features adjustable shelves to suit your specific storage or display preferences. Whether it’s books, collectibles, or multimedia, this versatile bookcase adds a natural touch to any space while keeping your belongings beautifully organised.",Sonama Oak,5900355016013,40.6,107.2,26.7,11.6,1,11.6,,,,,,,,,,0.026,5706887970287,117,27.7,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium height and slim width for easy placement,Adjustable shelving for flexible display,Warm Sonama Oak laminate finish,Scratch and moisture-resistant board,,,https://dl.dropboxusercontent.com/scl/fi/vldlnaua5k0cfb696n74d/4059547_ai.pdf?rlkey=2b24g4x6owja3zfpsmwi0sbp1&dl=0,,,,,,,,https://www.dropbox.com/scl/fi/1i6354g7bu0jgq66hw5ga/4059547_1.jpg?rlkey=026mo9gfoobgach4p4o157k72&dl=0,https://www.dropbox.com/scl/fi/wgyhpcz9b78d3lwir1g2c/4059547_2.jpg?rlkey=s5ur8hc4a1uuvdlrpu1ff4a3g&dl=0,https://www.dropbox.com/scl/fi/vy9o2d81tdeyhcp3kx8ox/4059547_3.jpg?rlkey=gwjc6cndfhf22vj3r9w3d23xg&dl=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4059541,95,94035000,4Kids,4KIDS 1 Drawer Bedside Cabinet with Lemon Handles,"1 drawer bedside cabinet in light oak and white high gloss with lemon handles. This neutral and functional kids collection is perfect for all age groups, finished in light oak and stunning white high gloss. Nice compact small 1 drawer bedside with open shelf for magazines.",Light Oak and white High Gloss (lemon handles),763250344330,45.6,42.2,40.2,17.0,1,17.0,,,,,,,,,,0.042,6010000000391,55.5,44,17,0.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Laminated board (resistant to damage and scratches, moisture and high temperature)",High gloss finish on fronts,Handles comes in 4 different colours,Easy self assembly ,Decorative gently rounded MDF mouldings,,https://dl.dropboxusercontent.com/scl/fi/46rlnnkigtxcl4owc8pxv/4059541_ai.pdf?rlkey=n0awjtou0eb1idbsn1b4jcyde&dl=0,,,,,,,,https://www.dropbox.com/s/8ftppvo4hrd9fss/4059541_1.jpg?dl=0,https://www.dropbox.com/s/t5bt41z9qlo49m5/4059541_2.jpg?dl=0,https://www.dropbox.com/s/j4ejjn5op0gzife/4059541_3.jpg?dl=0,https://www.dropbox.com/s/9587ztkymcmaaz3/4059541_4.jpg?dl=0,https://www.dropbox.com/s/9yfcmrt6zjyhob5/4059541_5.jpg?dl=0,https://www.dropbox.com/s/e4clku6dzpeg3ij/4059541_6.jpg?dl=0,https://www.dropbox.com/s/e1ice67a69tmywu/4059541_7.jpg?dl=0,,,,,,,,,,,,,,,,,N,,,Y,,,,,,,,,,,,Y,,,,,,,,,
